n,theta,W_n,log2_n_floor,theta_leq_log2_n,W_over_2n
1,0,3,0,1,1.5
2,1,5,1,1,1.25
3,1,7,1,1,0.875
4,1,11,2,1,0.6875
5,1,19,2,1,0.59375
6,2,31,2,1,0.484375
7,2,47,2,1,0.3671875
8,2,79,3,1,0.30859375
9,2,143,3,1,0.279296875
10,2,271,3,1,0.2646484375
11,3,511,3,1,0.24951171875
12,3,767,3,1,0.187255859375
13,3,1279,3,1,0.1561279296875
14,3,2303,3,1,0.14056396484375
15,3,4351,3,1,0.132781982421875
16,3,8447,4,1,0.1288909912109375
17,3,16639,4,1,0.12694549560546875
18,3,33023,4,1,0.12597274780273438
19,3,65791,4,1,0.1254863739013672
20,4,131071,4,1,0.1249990463256836
